Sex,Pclass,SibSp,Parch,Alone,Embarked,Age,Ticket,Fare,Survived
1,3,1,0,1,2,22.0,21171,7.25,0
0,1,1,0,1,0,38.0,17599,71.2833,1
0,3,0,0,0,2,26.0,3101282,7.925,1
0,1,1,0,1,2,35.0,113803,53.1,1
1,3,0,0,0,2,35.0,373450,8.05,0
1,3,0,0,0,1,26.507588932806325,330877,8.4583,0
1,1,0,0,0,2,54.0,17463,51.8625,0
1,3,3,1,1,2,2.0,349909,21.075,0
0,3,0,2,1,2,27.0,347742,11.1333,1
0,2,1,0,1,0,14.0,237736,30.0708,1
0,3,1,1,1,2,4.0,9549,16.7,1
0,1,0,0,0,2,58.0,113783,26.55,1
1,3,0,0,0,2,20.0,2151,8.05,0
1,3,1,5,1,2,39.0,347082,31.275,0
0,3,0,0,0,2,14.0,350406,7.8542,0
0,2,0,0,0,2,55.0,248706,16.0,1
1,3,4,1,1,1,2.0,382652,29.125,0
1,2,0,0,0,2,30.74070707070707,244373,13.0,1
0,3,1,0,1,2,31.0,345763,18.0,0
0,3,0,0,0,0,21.75,2649,7.225,1
1,2,0,0,0,2,35.0,239865,26.0,0
1,2,0,0,0,2,34.0,248698,13.0,1
0,3,0,0,0,1,15.0,330923,8.0292,1
1,1,0,0,0,2,28.0,113788,35.5,1
0,3,3,1,1,2,8.0,349909,21.075,0
0,3,1,5,1,2,38.0,347077,31.3875,1
1,3,0,0,0,0,26.507588932806325,2631,7.225,0
1,1,3,2,1,2,19.0,19950,263.0,0
0,3,0,0,0,1,21.75,330959,7.8792,1
1,3,0,0,0,2,26.507588932806325,349216,7.8958,0
1,1,0,0,0,0,40.0,17601,27.7208,0
0,1,1,0,1,0,34.61176470588235,17569,146.5208,1
0,3,0,0,0,1,21.75,335677,7.75,1
1,2,0,0,0,2,66.0,24579,10.5,0
1,1,1,0,1,0,28.0,17604,82.1708,0
1,1,1,0,1,2,42.0,113789,52.0,0
1,3,0,0,0,0,26.507588932806325,2677,7.2292,1
1,3,0,0,0,2,21.0,2152,8.05,0
0,3,2,0,1,2,18.0,345764,18.0,0
0,3,1,0,1,0,14.0,2651,11.2417,1
0,3,1,0,1,2,40.0,7546,9.475,0
0,2,1,0,1,2,27.0,11668,21.0,0
1,3,0,0,0,0,26.507588932806325,349253,7.8958,0
0,2,1,2,1,0,3.0,2123,41.5792,1
0,3,0,0,0,1,19.0,330958,7.8792,1
1,3,0,0,0,2,26.507588932806325,23567,8.05,0
1,3,1,0,1,1,26.507588932806325,370371,15.5,0
0,3,0,0,0,1,21.75,14311,7.75,1
1,3,2,0,1,0,26.507588932806325,2662,21.6792,0
0,3,1,0,1,2,18.0,349237,17.8,0
1,3,4,1,1,2,7.0,3101295,39.6875,0
1,3,0,0,0,2,21.0,39886,7.8,0
0,1,1,0,1,0,49.0,17572,76.7292,1
0,2,1,0,1,2,29.0,2926,26.0,1
1,1,0,1,1,0,65.0,113509,61.9792,0
1,1,0,0,0,2,41.28138613861386,19947,35.5,1
0,2,0,0,0,2,21.0,31026,10.5,1
1,3,0,0,0,0,28.5,2697,7.2292,0
0,2,1,2,1,2,5.0,34651,27.75,1
1,3,5,2,1,2,11.0,2144,46.9,0
1,3,0,0,0,0,22.0,2669,7.2292,0
0,1,0,0,0,2,38.0,113572,80.0,1
1,1,1,0,1,2,45.0,36973,83.475,0
1,3,3,2,1,2,4.0,347088,27.9,0
1,1,0,0,0,0,41.28138613861386,17605,27.7208,0
1,3,1,1,1,0,26.507588932806325,2661,15.2458,1
0,2,0,0,0,2,29.0,29395,10.5,1
1,3,0,0,0,2,19.0,3464,8.1583,0
0,3,4,2,1,2,17.0,3101281,7.925,1
1,3,2,0,1,2,26.0,315151,8.6625,0
1,2,0,0,0,2,32.0,33111,10.5,0
0,3,5,2,1,2,16.0,2144,46.9,0
1,2,0,0,0,2,21.0,14879,73.5,0
1,3,1,0,1,0,26.0,2680,14.4542,0
1,3,0,0,0,2,32.0,1601,56.4958,1
1,3,0,0,0,2,25.0,348123,7.65,0
1,3,0,0,0,2,26.507588932806325,349208,7.8958,0
1,3,0,0,0,2,26.507588932806325,374746,8.05,0
1,2,0,2,1,2,0.83,248738,29.0,1
0,3,0,0,0,2,30.0,364516,12.475,1
1,3,0,0,0,2,22.0,345767,9.0,0
1,3,0,0,0,2,29.0,345779,9.5,1
0,3,0,0,0,1,21.75,330932,7.7875,1
1,1,0,0,0,2,28.0,113059,47.1,0
0,2,0,0,0,2,17.0,14885,10.5,1
0,3,3,0,1,2,33.0,3101278,15.85,1
1,3,1,3,1,2,16.0,6608,34.375,0
1,3,0,0,0,2,26.507588932806325,392086,8.05,0
0,1,3,2,1,2,23.0,19950,263.0,1
1,3,0,0,0,2,24.0,343275,8.05,0
1,3,0,0,0,2,29.0,343276,8.05,0
1,3,0,0,0,2,20.0,347466,7.8542,0
1,1,1,0,1,2,46.0,5734,61.175,0
1,3,1,2,1,2,26.0,2315,20.575,0
1,3,0,0,0,2,59.0,364500,7.25,0
1,3,0,0,0,2,26.507588932806325,374910,8.05,0
1,1,0,0,0,0,71.0,17754,34.6542,0
1,1,0,1,1,0,23.0,17759,63.3583,1
0,2,0,1,1,2,34.0,231919,23.0,1
1,2,1,0,1,2,34.0,244367,26.0,0
0,3,0,0,0,2,28.0,349245,7.8958,0
1,3,0,0,0,2,26.507588932806325,349215,7.8958,0
1,1,0,1,1,2,21.0,35281,77.2875,0
1,3,0,0,0,2,33.0,7540,8.6542,0
1,3,2,0,1,2,37.0,3101276,7.925,0
1,3,0,0,0,2,28.0,349207,7.8958,0
0,3,0,0,0,2,21.0,343120,7.65,1
1,3,0,0,0,2,26.507588932806325,312991,7.775,1
1,3,0,0,0,2,38.0,349249,7.8958,0
0,3,1,0,1,1,21.75,371110,24.15,1
1,1,0,0,0,2,47.0,110465,52.0,0
0,3,1,0,1,0,14.5,2665,14.4542,0
1,3,0,0,0,2,22.0,324669,8.05,0
0,3,1,0,1,2,20.0,4136,9.825,0
0,3,0,0,0,0,17.0,2627,14.4583,0
1,3,0,0,0,2,21.0,3101294,7.925,0
1,3,0,0,0,1,70.5,370369,7.75,0
1,2,1,0,1,2,29.0,11668,21.0,0
1,1,0,1,1,0,24.0,17558,247.5208,0
0,3,4,2,1,2,2.0,347082,31.275,0
1,2,2,0,1,2,21.0,14879,73.5,0
1,3,0,0,0,2,26.507588932806325,54510,8.05,0
1,2,1,0,1,0,32.5,237736,30.0708,0
0,2,0,0,0,2,32.5,27267,13.0,1
1,1,0,1,1,2,54.0,35281,77.2875,0
1,3,1,0,1,0,12.0,2651,11.2417,1
1,3,0,0,0,1,26.507588932806325,370372,7.75,0
1,3,0,0,0,2,24.0,17369,7.1417,1
0,3,1,1,1,0,21.75,2668,22.3583,1
1,3,0,0,0,2,45.0,347061,6.975,0
1,3,0,0,0,0,33.0,349241,7.8958,0
1,3,0,0,0,2,20.0,3101307,7.05,0
0,3,1,0,1,2,47.0,3337,14.5,0
0,2,1,0,1,2,29.0,228414,26.0,1
1,2,0,0,0,2,25.0,29178,13.0,0
1,2,0,0,0,0,23.0,2133,15.0458,0
0,1,0,2,1,2,19.0,11752,26.2833,1
1,1,1,0,1,2,37.0,113803,53.1,0
1,3,0,0,0,2,16.0,7534,9.2167,0
1,1,0,0,0,0,24.0,17593,79.2,0
0,3,0,2,1,0,21.75,2678,15.2458,0
0,3,0,0,0,2,22.0,347081,7.75,1
0,3,1,0,1,2,24.0,3101279,15.85,1
1,3,0,0,0,1,19.0,365222,6.75,0
1,2,0,0,0,2,18.0,231945,11.5,0
1,2,1,1,1,2,19.0,33112,36.75,0
1,3,0,0,0,2,27.0,350043,7.7958,1
0,3,2,2,1,2,9.0,6608,34.375,0
1,2,0,2,1,2,36.5,230080,26.0,0
1,2,0,0,0,2,42.0,244310,13.0,0
1,2,0,0,0,2,51.0,1166,12.525,0
0,1,1,0,1,2,22.0,113776,66.6,1
1,3,0,0,0,2,55.5,11206,8.05,0
1,3,0,2,1,2,40.5,851,14.5,0
1,3,0,0,0,2,26.507588932806325,265302,7.3125,0
1,1,0,1,1,0,51.0,17597,61.3792,0
0,3,0,0,0,1,16.0,35851,7.7333,1
1,3,0,0,0,2,30.0,392090,8.05,0
1,3,0,0,0,2,26.507588932806325,315037,8.6625,0
1,3,8,2,1,2,26.507588932806325,2343,69.55,0
1,3,0,1,1,2,44.0,371362,16.1,0
0,2,0,0,0,2,40.0,33595,15.75,1
1,3,0,0,0,2,26.0,347068,7.775,0
1,3,0,0,0,2,17.0,315093,8.6625,0
1,3,4,1,1,2,1.0,3101295,39.6875,0
1,3,0,2,1,2,9.0,363291,20.525,1
0,1,0,1,1,2,34.61176470588235,113505,55.0,1
0,3,1,4,1,2,45.0,347088,27.9,0
1,1,0,0,0,2,41.28138613861386,17318,25.925,0
1,3,0,0,0,2,28.0,1601,56.4958,0
1,1,0,0,0,2,61.0,111240,33.5,0
1,3,4,1,1,1,4.0,382652,29.125,0
0,3,1,1,1,2,1.0,347742,11.1333,1
1,3,0,0,0,2,21.0,3101280,7.925,0
1,1,0,0,0,0,56.0,17764,30.6958,0
1,3,1,1,1,2,18.0,350404,7.8542,0
1,3,3,1,1,2,26.507588932806325,4133,25.4667,0
0,1,0,0,0,0,50.0,17595,28.7125,0
1,2,0,0,0,2,30.0,250653,13.0,0
1,3,0,0,0,2,36.0,239855,0.0,0
0,3,8,2,1,2,21.75,2343,69.55,0
1,2,0,0,0,0,30.74070707070707,2131,15.05,0
1,3,4,2,1,2,9.0,347077,31.3875,0
1,2,2,1,1,2,1.0,230136,39.0,1
0,3,0,2,1,2,4.0,315153,22.025,1
1,1,0,0,0,2,41.28138613861386,113767,50.0,0
0,3,1,0,1,1,21.75,370365,15.5,1
1,1,0,0,0,2,45.0,111428,26.55,1
1,3,1,1,1,1,40.0,364849,15.5,0
1,3,0,0,0,2,36.0,349247,7.8958,0
0,2,0,0,0,2,32.0,234604,13.0,1
1,2,0,0,0,2,19.0,28424,13.0,0
0,3,1,0,1,2,19.0,350046,7.8542,1
1,2,1,1,1,2,3.0,230080,26.0,1
0,1,0,0,0,0,44.0,17610,27.7208,1
0,1,0,0,0,0,58.0,17569,146.5208,1
1,3,0,0,0,1,26.507588932806325,368703,7.75,0
1,3,0,1,1,2,42.0,4579,8.4042,0
0,3,0,0,0,1,21.75,370370,7.75,1
0,2,0,0,0,2,24.0,248747,13.0,0
1,3,0,0,0,2,28.0,345770,9.5,0
1,3,8,2,1,2,26.507588932806325,2343,69.55,0
1,3,0,0,0,2,34.0,3101264,6.4958,0
1,3,0,0,0,0,45.5,2628,7.225,0
1,3,0,0,0,2,18.0,3540,8.05,1
0,3,0,1,1,2,2.0,347054,10.4625,0
1,3,1,0,1,2,32.0,3101278,15.85,0
1,3,0,0,0,0,26.0,2699,18.7875,1
0,3,0,0,0,1,16.0,367231,7.75,1
1,1,0,0,0,0,40.0,112277,31.0,1
1,3,0,0,0,2,24.0,3101311,7.05,0
0,2,0,0,0,2,35.0,13528,21.0,1
1,3,0,0,0,2,22.0,21174,7.25,0
1,2,0,0,0,2,30.0,250646,13.0,0
1,3,1,0,1,1,26.507588932806325,367229,7.75,0
0,1,1,0,1,0,31.0,35273,113.275,1
0,3,0,0,0,2,27.0,3101283,7.925,1
1,2,1,0,1,2,42.0,243847,27.0,0
0,1,0,0,0,0,32.0,11813,76.2917,1
1,2,0,0,0,2,30.0,14208,10.5,0
1,3,0,0,0,2,16.0,392089,8.05,1
1,2,0,0,0,2,27.0,220367,13.0,0
1,3,0,0,0,2,51.0,21440,8.05,0
1,3,0,0,0,2,26.507588932806325,349234,7.8958,0
1,1,1,0,1,2,38.0,19943,90.0,1
1,3,0,0,0,2,22.0,4348,9.35,0
1,2,0,0,0,2,19.0,751,10.5,1
1,3,0,0,0,2,20.5,21173,7.25,0
1,2,0,0,0,2,18.0,236171,13.0,0
0,3,3,1,1,2,21.75,4133,25.4667,0
0,1,1,0,1,2,35.0,36973,83.475,1
1,3,0,0,0,2,29.0,347067,7.775,0
1,2,0,0,0,2,59.0,237442,13.5,0
0,3,4,2,1,2,5.0,347077,31.3875,1
1,2,0,0,0,2,24.0,29566,10.5,0
0,3,0,0,0,2,21.75,6609,7.55,0
1,2,1,0,1,2,44.0,26707,26.0,0
0,2,0,2,1,2,8.0,31921,26.25,1
1,2,0,0,0,2,19.0,28665,10.5,0
1,2,0,0,0,2,33.0,1585,12.275,0
0,3,1,0,1,0,21.75,2665,14.4542,0
0,3,1,0,1,1,21.75,367230,15.5,1
1,2,0,0,0,2,29.0,14263,10.5,0
1,3,0,0,0,2,22.0,3101275,7.125,0
1,3,0,0,0,0,30.0,2694,7.225,0
1,1,2,0,1,1,44.0,19928,90.0,0
0,3,0,0,0,2,25.0,347071,7.775,0
0,2,0,2,1,2,24.0,250649,14.5,1
1,1,1,1,1,2,37.0,11751,52.5542,1
1,2,1,0,1,2,54.0,244252,26.0,0
1,3,0,0,0,2,26.507588932806325,362316,7.25,0
0,3,1,1,1,2,29.0,347054,10.4625,0
1,1,0,0,0,2,62.0,113514,26.55,0
1,3,1,0,1,2,30.0,3336,16.1,0
0,3,0,2,1,2,41.0,370129,20.2125,0
0,3,0,2,1,0,29.0,2650,15.2458,1
0,1,0,0,0,0,34.61176470588235,17585,79.2,1
0,1,0,0,0,2,30.0,110152,86.5,1
0,1,0,0,0,0,35.0,17755,512.3292,1
0,2,0,1,1,2,50.0,230433,26.0,1
1,3,0,0,0,1,26.507588932806325,384461,7.75,0
1,3,4,2,1,2,3.0,347077,31.3875,1
1,1,1,1,1,2,52.0,110413,79.65,0
1,1,0,0,0,2,40.0,112059,0.0,0
0,3,0,0,0,1,21.75,382649,7.75,0
1,2,0,0,0,2,36.0,17248,10.5,0
1,3,4,1,1,2,16.0,3101295,39.6875,0
1,3,1,0,1,2,25.0,347083,7.775,1
0,1,0,1,1,2,58.0,17582,153.4625,1
0,1,0,0,0,2,35.0,17760,135.6333,1
1,1,0,0,0,2,41.28138613861386,113798,31.0,0
1,3,0,0,0,2,25.0,250644,0.0,1
0,2,0,1,1,2,41.0,250644,19.5,1
1,1,0,1,1,0,37.0,17596,29.7,0
0,3,0,0,0,1,21.75,370375,7.75,1
0,1,1,0,1,2,63.0,13502,77.9583,1
0,3,0,0,0,2,45.0,347073,7.75,0
1,2,0,0,0,2,30.74070707070707,239853,0.0,0
1,3,4,1,1,1,7.0,382652,29.125,0
0,3,1,1,1,2,35.0,2673,20.25,1
1,3,0,0,0,1,65.0,336439,7.75,0
1,3,0,0,0,2,28.0,347464,7.8542,0
1,3,0,0,0,2,16.0,345778,9.5,0
1,3,0,0,0,2,19.0,10482,8.05,1
1,1,0,0,0,2,41.28138613861386,113056,26.0,0
1,3,0,0,0,0,33.0,349239,8.6625,0
1,3,0,0,0,2,30.0,345774,9.5,1
1,3,0,0,0,2,22.0,349206,7.8958,0
1,2,0,0,0,2,42.0,237798,13.0,1
0,3,0,0,0,1,22.0,370373,7.75,1
0,1,0,0,0,2,26.0,19877,78.85,1
0,1,1,0,1,0,19.0,11967,91.0792,1
1,2,0,0,0,0,36.0,2163,12.875,0
0,3,0,0,0,2,24.0,349236,8.85,0
1,3,0,0,0,2,24.0,349233,7.8958,0
1,1,0,0,0,0,41.28138613861386,17612,27.7208,0
1,3,0,0,0,0,23.5,2693,7.2292,0
0,1,1,2,1,2,2.0,113781,151.55,0
1,1,0,0,0,2,41.28138613861386,19988,30.5,1
0,1,0,1,1,0,50.0,17558,247.5208,1
0,3,0,0,0,1,21.75,9234,7.75,1
1,3,2,0,1,1,26.507588932806325,367226,23.25,1
1,3,0,0,0,2,19.0,3101273,0.0,0
0,2,0,0,0,1,28.722972972972972,226593,12.35,1
1,3,0,0,0,2,26.507588932806325,2466,8.05,0
1,1,1,2,1,2,0.92,113781,151.55,1
0,1,0,0,0,0,34.61176470588235,17421,110.8833,1
0,1,1,0,1,0,17.0,17758,108.9,1
1,2,1,0,1,0,30.0,3381,24.0,0
0,1,0,0,0,0,30.0,17485,56.9292,1
0,1,0,0,0,0,24.0,11767,83.1583,1
0,1,2,2,1,0,18.0,17608,262.375,1
0,2,1,1,1,2,26.0,250651,26.0,0
1,3,0,0,0,2,28.0,349243,7.8958,0
1,2,1,1,1,2,43.0,13529,26.25,0
0,3,0,0,0,2,26.0,347470,7.8542,1
0,2,1,0,1,2,24.0,244367,26.0,1
1,2,0,0,0,2,54.0,29011,14.0,0
0,1,0,2,1,2,31.0,36928,164.8667,1
0,1,1,1,1,0,40.0,16966,134.5,1
1,3,0,0,0,2,22.0,21172,7.25,0
1,3,0,0,0,2,27.0,349219,7.8958,0
0,2,0,0,0,1,30.0,234818,12.35,1
0,2,1,1,1,2,22.0,248738,29.0,1
1,3,8,2,1,2,26.507588932806325,2343,69.55,0
0,1,0,0,0,0,36.0,17760,135.6333,1
1,3,0,0,0,2,61.0,345364,6.2375,0
0,2,0,0,0,2,36.0,28551,13.0,1
0,3,1,1,1,2,31.0,363291,20.525,1
0,1,0,1,1,0,16.0,111361,57.9792,1
0,3,2,0,1,1,21.75,367226,23.25,1
1,1,0,0,0,2,45.5,113043,28.5,0
1,1,0,1,1,2,38.0,17582,153.4625,0
1,3,2,0,1,2,16.0,345764,18.0,0
0,1,1,0,1,2,34.61176470588235,17611,133.65,1
1,3,0,0,0,2,26.507588932806325,349225,7.8958,0
1,1,1,0,1,2,29.0,113776,66.6,0
0,1,0,0,0,0,41.0,16966,134.5,1
1,3,0,0,0,2,45.0,7598,8.05,1
1,1,0,0,0,2,45.0,113784,35.5,0
1,2,1,1,1,2,2.0,230080,26.0,1
0,1,3,2,1,2,24.0,19950,263.0,1
1,2,0,0,0,2,28.0,248740,13.0,0
1,2,0,0,0,2,25.0,244361,13.0,0
1,2,0,0,0,2,36.0,229236,13.0,0
0,2,0,0,0,2,24.0,248733,13.0,1
0,2,0,0,0,2,40.0,31418,13.0,1
0,3,1,0,1,2,21.75,386525,16.1,1
1,3,1,1,1,2,3.0,37671,15.9,1
1,3,0,0,0,2,42.0,315088,8.6625,0
1,3,0,0,0,2,23.0,7267,9.225,0
1,1,0,0,0,2,41.28138613861386,113510,35.0,0
1,3,1,1,1,0,15.0,2695,7.2292,0
1,3,1,0,1,2,25.0,349237,17.8,0
1,3,0,0,0,0,26.507588932806325,2647,7.225,0
1,3,0,0,0,2,28.0,345783,9.5,0
0,1,0,1,1,2,22.0,113505,55.0,1
0,2,0,0,0,2,38.0,237671,13.0,0
0,3,0,0,0,1,21.75,330931,7.8792,1
0,3,0,0,0,1,21.75,330980,7.8792,1
1,3,1,4,1,2,40.0,347088,27.9,0
1,2,1,0,1,0,29.0,2167,27.7208,0
0,3,0,1,1,0,45.0,2691,14.4542,0
1,3,0,0,0,2,35.0,3101310,7.05,0
1,3,1,0,1,1,26.507588932806325,370365,15.5,0
1,3,0,0,0,2,30.0,7076,7.25,0
0,1,1,0,1,0,60.0,110813,75.25,1
0,3,0,0,0,0,21.75,2626,7.2292,1
0,3,0,0,0,1,21.75,14313,7.75,1
0,1,0,0,0,0,24.0,17477,69.3,1
1,1,1,0,1,0,25.0,11765,55.4417,1
1,3,1,0,1,2,18.0,3101267,6.4958,0
1,3,0,0,0,2,19.0,323951,8.05,0
1,1,0,0,0,0,22.0,17760,135.6333,0
0,3,3,1,1,2,3.0,349909,21.075,0
0,1,1,0,1,0,34.61176470588235,17604,82.1708,1
0,3,0,0,0,2,22.0,7077,7.25,1
1,1,0,2,1,0,27.0,113503,211.5,0
1,3,0,0,0,0,20.0,2648,4.0125,0
1,3,0,0,0,2,19.0,347069,7.775,0
0,1,0,0,0,0,42.0,17757,227.525,1
0,3,0,2,1,0,1.0,2653,15.7417,1
1,3,0,0,0,2,32.0,3101293,7.925,0
0,1,1,0,1,2,35.0,113789,52.0,1
1,3,0,0,0,2,26.507588932806325,349227,7.8958,0
1,2,0,0,0,2,18.0,14879,73.5,0
1,3,5,2,1,2,1.0,2144,46.9,0
0,2,0,0,0,2,36.0,27849,13.0,1
1,3,0,0,0,1,26.507588932806325,367655,7.7292,0
0,2,0,0,0,0,17.0,1748,12.0,1
1,1,1,2,1,2,36.0,113760,120.0,1
1,3,0,0,0,2,21.0,350034,7.7958,1
1,3,2,0,1,2,28.0,3101277,7.925,0
0,1,1,0,1,0,23.0,35273,113.275,1
0,3,0,2,1,2,24.0,9549,16.7,1
1,3,0,0,0,2,22.0,350052,7.7958,0
0,3,0,0,0,2,31.0,350407,7.8542,0
1,2,0,0,0,2,46.0,28403,26.0,0
1,2,0,0,0,2,23.0,244278,10.5,0
0,2,0,0,0,2,28.0,240929,12.65,1
1,3,0,0,0,2,39.0,3101289,7.925,1
1,3,0,0,0,2,26.0,341826,8.05,0
0,3,1,0,1,2,21.0,4137,9.825,0
1,3,1,0,1,2,28.0,3101279,15.85,0
0,3,0,0,0,2,20.0,315096,8.6625,0
1,2,1,0,1,2,34.0,28664,21.0,0
1,3,0,0,0,2,51.0,347064,7.75,0
1,2,1,1,1,2,3.0,29106,18.75,1
1,3,0,0,0,2,21.0,312992,7.775,0
0,3,3,1,1,2,21.75,4133,25.4667,0
1,3,0,0,0,2,26.507588932806325,349222,7.8958,0
1,3,0,0,0,1,26.507588932806325,394140,6.8583,0
0,1,1,0,1,1,33.0,19928,90.0,1
1,2,0,0,0,2,30.74070707070707,239853,0.0,0
1,3,0,0,0,2,44.0,3101269,7.925,1
0,3,0,0,0,2,21.75,343095,8.05,0
0,2,1,1,1,2,34.0,28220,32.5,1
0,2,0,2,1,2,18.0,250652,13.0,1
1,2,0,0,0,2,30.0,28228,13.0,0
0,3,0,2,1,2,10.0,345773,24.15,0
1,3,0,0,0,0,26.507588932806325,349254,7.8958,0
1,3,0,0,0,1,21.0,13032,7.7333,0
1,3,0,0,0,2,29.0,315082,7.875,0
0,3,1,1,1,2,28.0,347080,14.4,0
1,3,1,1,1,2,18.0,370129,20.2125,0
1,3,0,0,0,2,26.507588932806325,34244,7.25,0
0,2,1,0,1,2,28.0,2003,26.0,1
0,2,0,0,0,2,19.0,250655,26.0,1
1,3,0,0,0,1,26.507588932806325,364851,7.75,0
1,3,0,0,0,2,32.0,392078,8.05,1
1,1,0,0,0,2,28.0,110564,26.55,1
0,3,1,0,1,2,21.75,376564,16.1,1
0,2,1,0,1,2,42.0,3085,26.0,1
1,3,0,0,0,2,17.0,3101274,7.125,0
1,1,1,0,1,2,50.0,13507,55.9,0
0,1,1,2,1,2,14.0,113760,120.0,1
0,3,2,2,1,2,21.0,6608,34.375,0
0,2,2,3,1,2,24.0,29106,18.75,1
1,1,1,4,1,2,64.0,19950,263.0,0
1,2,0,0,0,2,31.0,18723,10.5,0
0,2,1,1,1,2,45.0,13529,26.25,1
1,3,0,0,0,2,20.0,345769,9.5,0
1,3,1,0,1,2,25.0,347076,7.775,0
0,2,0,0,0,2,28.0,230434,13.0,1
1,3,0,0,0,2,26.507588932806325,65306,8.1125,1
1,1,0,2,1,2,4.0,33638,81.8583,1
